ID,Name,Glottocode,Macroarea,Latitude,Longitude,Family_Glottocode,Family_Name
1096_Arhuaco_arhu1242,Arhuaco,arhu1242,South America,10.7018,-73.6363,chib1249,Chibchan
1097_Karo_karo1306,Karo,karo1306,South America,,,tupi1275,Tupian
1098_Libyan_Arabic_liby1240,Libyan Arabic,liby1240,Africa,22.0032,15.0014,afro1255,Afro-Asiatic
1099_Batak_Toba_bata1289,Batak Toba,bata1289,Pacific,2.35498,99.1761,aust1307,Austronesian
1100_Baoule_baou1238,Baoulé,baou1238,Africa,5.42509,-4.76565,atla1278,Atlantic-Congo
1101_Bondo_bond1245,Bondo,bond1245,Eurasia,19.1512,83.8141,aust1305,Austroasiatic
1102_Bikele_bike1242,Bikele,bike1242,Africa,,,atla1278,Atlantic-Congo
1103_Siksika_siks1238,Siksika,siks1238,North America,49.0669,-113.109,algi1248,Algic
1104_Biloxi_bilo1248,Biloxi,bilo1248,North America,31.32,-89.1951,siou1252,Siouan
1105_Belize_Kriol_English_beli1260,Belize Kriol English,beli1260,North America,17.3941,-88.6281,indo1319,Indo-European
1106_Koasati_koas1236,Koasati,koas1236,North America,30.4096,-92.709,musk1252,Muskogean
1107_Comox_como1259,Comox,como1259,North America,49.7233,-124.967,sali1255,Salishan
1108_Sochiapam_Chinantec_soch1239,Sochiapam Chinantec,soch1239,North America,17.7985,-96.6079,otom1299,Otomanguean
1109_Dimli_diml1238,Dimli,diml1238,Eurasia,38.6147,39.6388,indo1319,Indo-European
1110_Yekhee_yekh1238,Yekhee,yekh1238,Africa,7.10204,6.44919,atla1278,Atlantic-Congo
1111_Northern_Frisian_nort2626,Northern Frisian,nort2626,Eurasia,54.6409,8.58489,indo1319,Indo-European
1112_Gujari_guja1253,Gujari,guja1253,Eurasia,33.7,75.11,indo1319,Indo-European
1113_Kotiria_guan1269,Kotiria,guan1269,South America,1.07554,-69.5705,tuca1253,Tucanoan
1114_HunganaSaamba_hung1278,Hungana-Saamba,hung1278,Africa,-3.69695,18.4312,atla1278,Atlantic-Congo
1115_Halkomelem_halk1245,Halkomelem,halk1245,North America,49.250402,-122.443668,sali1255,Salishan
1116_Huastec_huas1242,Huastec,huas1242,North America,21.6153,-98.5028,maya1287,Mayan
1117_Iloko_ilok1237,Iloko,ilok1237,Pacific,15.9361,120.993,aust1307,Austronesian
1118_Kadiweu_kadi1248,Kadiwéu,kadi1248,South America,-19.7222,-57.582,guai1249,Guaicuruan
1119_Kutep_kute1248,Kutep,kute1248,Africa,7.07479,10.0916,atla1278,Atlantic-Congo
1120_AwaCuaiquer_awac1239,Awa-Cuaiquer,awac1239,South America,1.21652,-78.3401,barb1265,Barbacoan
1121_Lisu_lisu1250,Lisu,lisu1250,Eurasia,26.91,98.94,sino1245,Sino-Tibetan
1122_Loniu_loni1238,Loniu,loni1238,Pacific,-2.06124,147.35,aust1307,Austronesian
1123_Molale_mola1238,Molale,mola1238,North America,44.556,-122.857,,
