ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family_Glottocode,Family_Name,Glottolog_Name
118_Siriono_siri1273,Sirionó,South America,-15.5298,-63.9688,siri1273,srq,tupi1275,Tupian,Sirionó
119_Paraguayan_Guarani_para1311,Paraguayan Guaraní,South America,-25.60551,-57.08816,para1311,gug,tupi1275,Tupian,Paraguayan Guaraní
120_Amahuaca_amah1246,Amahuaca,South America,-10.2012,-72.3208,amah1246,amc,pano1259,Pano-Tacanan,Amahuaca
121_Chacobo_chac1251,Chácobo,South America,-12.133,-66.7164,chac1251,cao,pano1259,Pano-Tacanan,Chácobo
122_Apinaye_apin1244,Apinayé,South America,-6.10774,-47.6315,apin1244,apn,nucl1710,Nuclear-Macro-Je,Apinayé
123_TarifiytBeniIznasenEastern_Middle_Atlas_Berber_tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,Africa,34.916974,-3.430616,tari1263,rif,afro1255,Afro-Asiatic,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber
124_Hausa_haus1257,Hausa,Africa,11.1513,8.7804,haus1257,hau,afro1255,Afro-Asiatic,Hausa
125_Ngas_ngas1240,Ngas,Africa,9.32042,9.46146,ngas1240,anc,afro1255,Afro-Asiatic,Ngas
126_Marghi_Central_marg1265,Marghi Central,Africa,10.93854,13.0521,marg1265,mrt,afro1255,Afro-Asiatic,Marghi Central
127_Somali_soma1255,Somali,Africa,4.778704,45.152856,soma1255,som,afro1255,Afro-Asiatic,Somali
128_Awngi_awng1244,Awngi,Africa,10.9819,36.6916,awng1244,awn,afro1255,Afro-Asiatic,Awngi
129_Iraqw_iraq1241,Iraqw,Africa,-4.19948,35.2939,iraq1241,irk,afro1255,Afro-Asiatic,Iraqw
130_Tigre_tigr1270,Tigre,Africa,17.3494,38.2233,tigr1270,tig,afro1255,Afro-Asiatic,Tigre
131_Amharic_amha1245,Amharic,Africa,11.708182,39.543456,amha1245,amh,afro1255,Afro-Asiatic,Amharic
132_Egyptian_Arabic_egyp1253,Egyptian Arabic,Africa,31.0,31.0,egyp1253,arz,afro1255,Afro-Asiatic,Egyptian Arabic
133_Moroccan_Arabic_moro1292,Moroccan Arabic,Africa,32.5,-7.5,moro1292,ary,afro1255,Afro-Asiatic,Moroccan Arabic
134_Maltese_malt1254,Maltese,Eurasia,35.8884,14.4508,malt1254,mlt,afro1255,Afro-Asiatic,Maltese
135_Modern_Hebrew_hebr1245,Modern Hebrew,Eurasia,31.1056,35.0179,hebr1245,heb,afro1255,Afro-Asiatic,Modern Hebrew
136_Katcha_katc1250,Katcha,Africa,,,katc1250,,kadu1256,Kadugli-Krongo,Katcha
137_Liberia_Kpelle_libe1247,Liberia Kpelle,Africa,6.92048,-9.96128,libe1247,xpe,mand1469,Mande,Liberia Kpelle
138_Wolof_nucl1347,Wolof,Africa,15.2534,-15.383,nucl1347,wol,atla1278,Atlantic-Congo,Wolof
139_Dagbani_dagb1246,Dagbani,Africa,9.64745,-0.43227,dagb1246,dag,atla1278,Atlantic-Congo,Dagbani
140_Akan_akan1250,Akan,Africa,6.34756,-1.33254,akan1250,aka,atla1278,Atlantic-Congo,Akan
141_Ga_gaaa1244,Ga,Africa,5.65488,-0.18598,gaaa1244,gaa,atla1278,Atlantic-Congo,Ga
142_Ewe_ewee1241,Ewe,Africa,6.46061,0.814975,ewee1241,ewe,atla1278,Atlantic-Congo,Ewe
143_Igbo_nucl1417,Igbo,Africa,4.62705,7.23441,nucl1417,ibo,atla1278,Atlantic-Congo,Igbo
144_Beembe_beem1239,Beembe,Africa,-3.95895,14.1,beem1239,beq,atla1278,Atlantic-Congo,Beembe
145_Swahili_swah1253,Swahili,Africa,-8.25605,37.624,swah1253,swh,atla1278,Atlantic-Congo,Swahili
146_Luvale_luva1239,Luvale,Africa,-13.5382,22.2924,luva1239,lue,atla1278,Atlantic-Congo,Luvale
147_Zulu_zulu1248,Zulu,Africa,-28.9,30.2,zulu1248,zul,atla1278,Atlantic-Congo,Zulu
148_GbayaBossangoa_gbay1287,Gbaya-Bossangoa,Africa,6.61896,17.645,gbay1287,gbp,atla1278,Atlantic-Congo,Gbaya-Bossangoa
149_Koyraboro_Senni_Songhai_koyr1242,Koyraboro Senni Songhai,Africa,16.9634,-0.55187,koyr1242,ses,song1307,Songhay,Koyraboro Senni Songhai
150_Central_Kanuri_cent2050,Central Kanuri,Africa,11.8,13.13,cent2050,knc,saha1256,Saharan,Central Kanuri
151_Lugbara_lugb1240,Lugbara,Africa,3.02245,30.8642,lugb1240,lgg,cent2225,Central Sudanic,Lugbara
152_Nobiin_nobi1240,Nobiin,Africa,22.8142,31.8376,nobi1240,fia,nubi1251,Nubian,Nobiin
153_Luo_Kenya_and_Tanzania_luok1236,Luo (Kenya and Tanzania),Africa,-0.93296,34.4896,luok1236,luo,nilo1247,Nilotic,Luo (Kenya and Tanzania)
154_Masai_masa1300,Masai,Africa,-3.1419,36.4573,masa1300,mas,nilo1247,Nilotic,Masai
155_Nama_nama1265,Nama,Africa,,,nama1265,,khoe1240,Khoe-Kwadi,Nama
156_Irish_iris1253,Irish,Eurasia,53.2186,-7.61509,iris1253,gle,indo1319,Indo-European,Irish
157_Breton_bret1244,Breton,Eurasia,48.2452,-3.78934,bret1244,bre,indo1319,Indo-European,Breton
158_Icelandic_icel1247,Icelandic,Eurasia,63.4837,-19.0212,icel1247,isl,indo1319,Indo-European,Icelandic
159_Norwegian_Bokmal_norw1259,Norwegian Bokmål,Eurasia,61.112,8.886,norw1259,nob,indo1319,Indo-European,Norwegian Bokmål
160_English_stan1293,English,Eurasia,53.0,-1.0,stan1293,eng,indo1319,Indo-European,English
161_German_stan1295,German,Eurasia,48.649,12.4676,stan1295,deu,indo1319,Indo-European,German
162_French_stan1290,French,Eurasia,48.0,2.0,stan1290,fra,indo1319,Indo-European,French
163_Portuguese_port1283,Portuguese,Eurasia,39.91,-8.1,port1283,por,indo1319,Indo-European,Portuguese
164_Spanish_stan1288,Spanish,Eurasia,40.4414,-1.11788,stan1288,spa,indo1319,Indo-European,Spanish
165_Romanian_roma1327,Romanian,Eurasia,46.3913,24.2256,roma1327,ron,indo1319,Indo-European,Romanian
166_Russian_russ1263,Russian,Eurasia,59.0,50.0,russ1263,rus,indo1319,Indo-European,Russian
167_Bulgarian_bulg1262,Bulgarian,Eurasia,43.3646,25.047,bulg1262,bul,indo1319,Indo-European,Bulgarian
168_Lithuanian_lith1251,Lithuanian,Eurasia,55.1429,23.9601,lith1251,lit,indo1319,Indo-European,Lithuanian
169_Northern_Tosk_Albanian_tosk1239,Northern Tosk Albanian,Eurasia,41.0,20.0,tosk1239,als,indo1319,Indo-European,Northern Tosk Albanian
170_Modern_Greek_mode1248,Modern Greek,Eurasia,38.36,23.13,mode1248,ell,indo1319,Indo-European,Modern Greek
171_Eastern_Armenian_nucl1235,Eastern Armenian,Eurasia,40.0,45.0,nucl1235,hye,indo1319,Indo-European,Eastern Armenian
172_Western_Farsi_west2369,Western Farsi,Eurasia,32.9,53.3,west2369,pes,indo1319,Indo-European,Western Farsi
173_Central_Pashto_cent1973,Central Pashto,Eurasia,31.9153,69.4529,cent1973,pst,indo1319,Indo-European,Central Pashto
174_Kashmiri_kash1277,Kashmiri,Eurasia,34.166825,74.330455,kash1277,kas,indo1319,Indo-European,Kashmiri
175_Eastern_Panjabi_panj1256,Eastern Panjabi,Eurasia,30.0368,75.6702,panj1256,pan,indo1319,Indo-European,Eastern Panjabi
176_Hindi_hind1269,Hindi,Eurasia,25.0,77.0,hind1269,hin,indo1319,Indo-European,Hindi
177_Bengali_beng1280,Bengali,Eurasia,24.0,90.0,beng1280,ben,indo1319,Indo-European,Bengali
178_Sinhala_sinh1246,Sinhala,Eurasia,8.0,81.0,sinh1246,sin,indo1319,Indo-European,Sinhala
179_Basque_basq1248,Basque,Eurasia,43.2787,-1.31622,basq1248,eus,,,Basque
180_Finnish_finn1318,Finnish,Eurasia,64.7628,25.5577,finn1318,fin,ural1272,Uralic,Finnish
181_Eastern_Mari_east2328,Eastern Mari,Eurasia,55.8307,48.405,east2328,mhr,ural1272,Uralic,Eastern Mari
182_KomiZyrian_komi1268,Komi-Zyrian,Eurasia,64.0527,54.946,komi1268,kpv,ural1272,Uralic,Komi-Zyrian
183_Hungarian_hung1274,Hungarian,Eurasia,46.9068585714,19.6555271429,hung1274,hun,ural1272,Uralic,Hungarian
184_KazymBerezoverSuryskarer_Khanty_khan1273,Kazym-Berezover-Suryskarer Khanty,Eurasia,62.4308,66.1218,khan1273,kca,ural1272,Uralic,Kazym-Berezover-Suryskarer Khanty
185_Tundra_Nenets_nene1249,Tundra Nenets,Eurasia,66.1775,71.0234,nene1249,yrk,ural1272,Uralic,Tundra Nenets
186_Turkish_nucl1301,Turkish,Eurasia,39.8667,32.8667,nucl1301,tur,turk1311,Turkic,Turkish
187_North_Azerbaijani_nort2697,North Azerbaijani,Eurasia,40.9777,46.4737,nort2697,azj,turk1311,Turkic,North Azerbaijani
188_Kirghiz_kirg1245,Kirghiz,Eurasia,42.0,74.0,kirg1245,kir,turk1311,Turkic,Kirghiz
189_Chuvash_chuv1255,Chuvash,Eurasia,55.487,47.163,chuv1255,chv,turk1311,Turkic,Chuvash
190_Sakha_yaku1245,Sakha,Eurasia,61.6974,133.98,yaku1245,sah,turk1311,Turkic,Sakha
191_Halh_Mongolian_halh1238,Halh Mongolian,Eurasia,48.324,106.289,halh1238,khk,mong1349,Mongolic-Khitan,Halh Mongolian
192_Even_even1260,Even,Eurasia,70.6687,130.914,even1260,eve,tung1282,Tungusic,Even
193_Northern_Yukaghir_nort2745,Northern Yukaghir,Eurasia,70.498,157.853,nort2745,ykg,yuka1259,Yukaghir,Northern Yukaghir
194_Nivkh_gily1242,Amur Nivkh,Eurasia,52.59,140.681,gily1242,niv,nivk1234,Nivkh,Amur Nivkh
195_Chukchi_chuk1273,Chukchi,Eurasia,68.6436,170.045,chuk1273,ckt,chuk1271,Chukotko-Kamchatkan,Chukchi
196_Hokkaido_Ainu_ainu1240,Hokkaido Ainu,Eurasia,43.633654,142.46167,ainu1240,ain,ainu1252,Ainu,Hokkaido Ainu
197_Japanese_nucl1643,Japanese,Eurasia,35.0,135.0,nucl1643,jpn,japo1237,Japonic,Japanese
198_Afade_afad1236,Afade,Africa,12.0551,14.6343,afad1236,aal,afro1255,Afro-Asiatic,Afade
199_Achumawi_achu1247,Achumawi,North America,41.0979,-121.191,achu1247,acv,pala1350,Palaihnihan,Achumawi
200_Adzera_adze1240,Adzera,Papunesia,-6.39394,146.294,adze1240,adz,aust1307,Austronesian,Adzera
201_Eastern_Arrernte_east2379,Eastern Arrernte,Australia,-23.3583,135.046,east2379,aer,pama1250,Pama-Nyungan,Eastern Arrernte
202_Amele_amel1241,Amele,Papunesia,-5.29126,145.687,amel1241,aey,nucl1709,Nuclear Trans New Guinea,Amele
203_Angaataha_anga1290,Angaataha,Papunesia,-7.15012,146.352,anga1290,agm,anga1289,Angan,Angaataha
204_Aghem_aghe1239,Aghem,Africa,6.38956,10.0807,aghe1239,agq,atla1278,Atlantic-Congo,Aghem
205_Aproumu_Aizi_apro1235,Aproumu Aizi,Africa,5.20273,-4.52192,apro1235,ahp,atla1278,Atlantic-Congo,Aproumu Aizi
206_Ahtena_ahte1237,Ahtena,North America,61.7068,-144.889,ahte1237,aht,atha1245,Athabaskan-Eyak-Tlingit,Ahtena
207_Hokkaido_Ainu_ainu1240,Hokkaido Ainu,Eurasia,43.633654,142.46167,ainu1240,ain,ainu1252,Ainu,Hokkaido Ainu
208_Akan_akan1250,Akan,Africa,6.34756,-1.33254,akan1250,aka,atla1278,Atlantic-Congo,Akan
209_Akawaio_akaw1239,Akawaio,South America,6.16277,-60.862,akaw1239,ake,cari1283,Cariban,Akawaio
210_Alabama_alab1237,Alabama,North America,30.76738,-94.62848,alab1237,akz,musk1252,Muskogean,Alabama
211_Qawasqar_qawa1238,Qawasqar,South America,-49.303195,-74.707536,qawa1238,alc,kawe1237,Kawesqar,Qawasqar
212_Alladian_alla1248,Alladian,Africa,5.22371,-4.42647,alla1248,ald,atla1278,Atlantic-Congo,Alladian
213_Aleut_aleu1260,Aleut,North America,52.1228,-174.29,aleu1260,ale,eski1264,Eskimo-Aleut,Aleut
214_Alawa_alaw1244,Alawa,Australia,-15.5458,134.282,alaw1244,alh,mang1423,Mangarrayi-Maran,Alawa
215_Northern_Tosk_Albanian_tosk1239,Northern Tosk Albanian,Eurasia,41.0,20.0,tosk1239,als,indo1319,Indo-European,Northern Tosk Albanian
216_Amahuaca_amah1246,Amahuaca,South America,-10.2012,-72.3208,amah1246,amc,pano1259,Pano-Tacanan,Amahuaca
217_Yanesha_yane1238,Yanesha',South America,-10.5454,-75.315,yane1238,ame,araw1281,Arawakan,Yanesha'
