ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family_Glottocode,Family_Name,Glottolog_Name
1_Korean_kore1280,Korean,Eurasia,37.5,128.0,kore1280,kor,kore1284,Koreanic,Korean
2_Ket_kett1243,Ket,Eurasia,63.7551,87.5466,kett1243,ket,yeni1252,Yeniseian,Ket
3_Lak_lakk1252,Lak,Eurasia,42.1328,47.0809,lakk1252,lbe,nakh1245,Nakh-Daghestanian,Lak
4_Kabardian_kaba1278,Kabardian,Eurasia,43.5082,43.3918,kaba1278,kbd,abkh1242,Abkhaz-Adyge,Kabardian
5_Georgian_nucl1302,Georgian,Eurasia,41.850397,43.78613,nucl1302,kat,kart1248,Kartvelian,Georgian
6_Burushaski_buru1296,Burushaski,Eurasia,36.2161,74.8236,buru1296,bsk,,,Burushaski
7_Kurukh_kuru1302,Kurukh,Eurasia,24.4644,86.4657,kuru1302,kru,drav1251,Dravidian,Kurukh
8_Telugu_telu1262,Telugu,Eurasia,16.4529,78.7024,telu1262,tel,drav1251,Dravidian,Telugu
9_Kota_India_kota1263,Kota (India),Eurasia,11.4978,76.9387,kota1263,kfe,drav1251,Dravidian,Kota (India)
10_Mundari_mund1320,Mundari,Eurasia,23.03,85.85,mund1320,unr,aust1305,Austroasiatic,Mundari
11_Kharia_khar1287,Kharia,Eurasia,22.3571,84.3922,khar1287,khr,aust1305,Austroasiatic,Kharia
12_Khasi_khas1269,Khasi,Eurasia,24.977,91.9998,khas1269,kha,aust1305,Austroasiatic,Khasi
13_Sedang_seda1262,Sedang,Eurasia,14.7793,108.027,seda1262,sed,aust1305,Austroasiatic,Sedang
14_Central_Khmer_cent1989,Central Khmer,Eurasia,12.0515,105.015,cent1989,khm,aust1305,Austroasiatic,Central Khmer
15_Vietnamese_viet1252,Vietnamese,Eurasia,20.681188,105.774071,viet1252,vie,aust1305,Austroasiatic,Vietnamese
16_Mandarin_Chinese_mand1415,Mandarin Chinese,Eurasia,40.0209,116.228,mand1415,cmn,sino1245,Sino-Tibetan,Mandarin Chinese
17_Wu_Chinese_wuch1236,Wu Chinese,Eurasia,29.8621,119.682,wuch1236,wuu,sino1245,Sino-Tibetan,Wu Chinese
18_Hakka_Chinese_hakk1236,Hakka Chinese,Eurasia,25.0,116.0,hakk1236,hak,sino1245,Sino-Tibetan,Hakka Chinese
19_Yue_Chinese_yuec1235,Yue Chinese,Eurasia,23.0,113.0,yuec1235,yue,sino1245,Sino-Tibetan,Yue Chinese
20_Iu_Mien_iumi1238,Iu Mien,Eurasia,20.83,101.17,iumi1238,ium,hmon1336,Hmong-Mien,Iu Mien
21_NyishiHill_Miri_nyis1236,Nyishi-Hill Miri,Eurasia,27.278263,93.675529,nyis1236,njz,sino1245,Sino-Tibetan,Nyishi-Hill Miri
22_Burmese_nucl1310,Burmese,Eurasia,20.7926,93.9665,nucl1310,mya,sino1245,Sino-Tibetan,Burmese
23_Lahu_lahu1253,Lahu,Eurasia,21.2701,100.214,lahu1253,lhu,sino1245,Sino-Tibetan,Lahu
24_Garo_garo1247,Garo,Eurasia,25.2954,90.462,garo1247,grt,sino1245,Sino-Tibetan,Garo
25_Sgaw_Karen_sgaw1245,S'gaw Karen,Eurasia,17.9872,97.7126,sgaw1245,ksw,sino1245,Sino-Tibetan,S'gaw Karen
26_Lakkia_lakk1238,Lakkia,Eurasia,24.1169,110.106,lakk1238,lbc,taik1256,Tai-Kadai,Lakkia
27_Thai_thai1261,Thai,Eurasia,14.192,100.671,thai1261,tha,taik1256,Tai-Kadai,Thai
28_Bouyei_bouy1240,Bouyei,Eurasia,24.8484,106.187,bouy1240,pcc,taik1256,Tai-Kadai,Bouyei
29_Western_Cham_west2650,Western Cham,Eurasia,12.4771,104.026,west2650,cja,aust1307,Austronesian,Western Cham
30_Atayal_atay1247,Atayal,Papunesia,24.5209,121.388,atay1247,tay,aust1307,Austronesian,Atayal
31_Plateau_Malagasy_plat1254,Plateau Malagasy,Africa,-19.5907,47.1211,plat1254,plt,aust1307,Austronesian,Plateau Malagasy
32_Standard_Malay_stan1306,Standard Malay,Eurasia,3.08896,101.699,stan1306,zsm,aust1307,Austronesian,Standard Malay
33_Batak_Toba_bata1289,Batak Toba,Papunesia,2.35498,99.1761,bata1289,bbc,aust1307,Austronesian,Batak Toba
34_Saban_saba1265,Sa'ban,Papunesia,3.58723,115.664,saba1265,snv,aust1307,Austronesian,Sa'ban
35_Sundanese_sund1252,Sundanese,Papunesia,-6.89708,107.106,sund1252,sun,aust1307,Austronesian,Sundanese
36_Javanese_java1254,Javanese,Papunesia,-7.001,109.287,java1254,jav,aust1307,Austronesian,Javanese
37_Tagalog_taga1270,Tagalog,Papunesia,14.06,121.747,taga1270,tgl,aust1307,Austronesian,Tagalog
38_Chamorro_cham1312,Chamorro,Papunesia,13.438011,144.74474,cham1312,cha,aust1307,Austronesian,Chamorro
39_Iaai_iaai1238,Iaai,Papunesia,-20.6301,166.59,iaai1238,iai,aust1307,Austronesian,Iaai
40_Kaliai_kali1299,Kaliai,Papunesia,,,kali1299,,aust1307,Austronesian,Kaliai
41_Adzera_adze1240,Adzera,Papunesia,-6.39394,146.294,adze1240,adz,aust1307,Austronesian,Adzera
42_Maori_maor1246,Maori,Papunesia,-38.2881,176.541,maor1246,mri,aust1307,Austronesian,Maori
43_Hawaiian_hawa1245,Hawaiian,Papunesia,19.6297,-155.43,hawa1245,haw,aust1307,Austronesian,Hawaiian
44_Antakarinya_anta1253,Antakarinya,Australia,-27.1152,134.838,anta1253,ant,pama1250,Pama-Nyungan,Antakarinya
45_Nyangumarta_nyan1301,Nyangumarta,Australia,-20.6271,121.391,nyan1301,nna,pama1250,Pama-Nyungan,Nyangumarta
46_Kunjen_kunj1245,Kunjen,Australia,-16.6807,143.53,kunj1245,kjn,pama1250,Pama-Nyungan,Kunjen
47_Maranunggu_mara1386,Maranunggu,Australia,-13.6754,130.12,mara1386,zmr,west2434,Western Daly,Maranunggu
48_Mawng_maun1240,Mawng,Australia,-11.66,133.376,maun1240,mph,iwai1246,Iwaidjan Proper,Mawng
49_Wubuy_nung1290,Wubuy,Australia,-14.2623,135.753,nung1290,nuy,gunw1250,Gunwinyguan,Wubuy
50_Alawa_alaw1244,Alawa,Australia,-15.5458,134.282,alaw1244,alh,mang1423,Mangarrayi-Maran,Alawa
51_WikMungkan_wikm1247,Wik-Mungkan,Australia,-13.98051,141.81611,wikm1247,wim,pama1250,Pama-Nyungan,Wik-Mungkan
52_Sentani_nucl1632,Sentani,Papunesia,-2.6013,140.512,nucl1632,set,sent1261,Sentanic,Sentani
53_Kwoma_kwom1262,Kwoma,Papunesia,-4.08721,142.664,kwom1262,kmo,sepi1257,Sepik,Kwoma
54_Tamnim_Citak_tamn1235,Tamnim Citak,Papunesia,-5.57962,139.233,tamn1235,tml,nucl1709,Nuclear Trans New Guinea,Tamnim Citak
55_Telefol_tele1256,Telefol,Papunesia,-5.07444,141.731,tele1256,tlf,nucl1709,Nuclear Trans New Guinea,Telefol
56_Gadsup_gads1258,Gadsup,Papunesia,-6.31631,145.997,gads1258,gaj,nucl1709,Nuclear Trans New Guinea,Gadsup
57_Awiyaana_awiy1238,Awiyaana,Papunesia,-6.54079,145.76,awiy1238,auy,nucl1709,Nuclear Trans New Guinea,Awiyaana
58_Kunimaipa_kuni1267,Kunimaipa,Papunesia,-8.09371,146.908,kuni1267,kup,goil1242,Goilalan,Kunimaipa
59_Selepet_sele1250,Selepet,Papunesia,-6.03532,147.234,sele1250,spl,nucl1709,Nuclear Trans New Guinea,Selepet
60_Naasioi_naas1242,Naasioi,Papunesia,-6.46022,155.632,naas1242,nas,sout2948,South Bougainville,Naasioi
61_Aleut_aleu1260,Aleut,North America,52.1228,-174.29,aleu1260,ale,eski1264,Eskimo-Aleut,Aleut
62_Kalaallisut_kala1399,Kalaallisut,North America,69.3761,-52.864,kala1399,kal,eski1264,Eskimo-Aleut,Kalaallisut
63_Chipewyan_chip1261,Chipewyan,North America,58.98,-104.44,chip1261,chp,atha1245,Athabaskan-Eyak-Tlingit,Chipewyan
64_TolowaChetco_tolo1259,Tolowa-Chetco,North America,41.9192,-124.1,tolo1259,tol,atha1245,Athabaskan-Eyak-Tlingit,Tolowa-Chetco
65_Hupa_hupa1239,Hupa-Chilula,North America,41.0982,-123.68,hupa1239,hup,atha1245,Athabaskan-Eyak-Tlingit,Hupa-Chilula
66_Navajo_nava1243,Navajo,North America,36.33,-109.38,nava1243,nav,atha1245,Athabaskan-Eyak-Tlingit,Navajo
67_Northern_Haida_nort2938,Northern Haida,North America,54.004532,-132.079257,nort2938,hdn,haid1248,Haida,Northern Haida
68_Squamish_squa1248,Squamish,North America,49.3231,-123.014,squa1248,squ,sali1255,Salishan,Squamish
69_Straits_Salish_stra1244,Northern Straits Salish,North America,48.51614,-123.757114,stra1244,str,sali1255,Salishan,Northern Straits Salish
70_Nuuchahnulth_nuuc1236,Nuu-chah-nulth,North America,49.67,-126.67,nuuc1236,nuk,waka1280,Wakashan,Nuu-chah-nulth
71_Kwakwala_kwak1269,Kwak'wala,North America,50.9269,-127.308,kwak1269,kwk,waka1280,Wakashan,Kwak'wala
72_Eastern_Ojibwa_east2542,Eastern Ojibwa,North America,45.0112,-79.7503,east2542,ojg,algi1248,Algic,Eastern Ojibwa
73_Unami_unam1242,Unami,North America,35.0264,-98.3201,unam1242,unm,algi1248,Algic,Unami
74_Wichita_wich1260,Wichita,North America,35.0665,-98.1831,wich1260,wic,cadd1255,Caddoan,Wichita
75_Lakota_lako1247,Lakota,North America,46.3699,-103.95,lako1247,lkt,siou1252,Siouan,Lakota
76_Seneca_sene1264,Seneca,North America,42.56,-77.53,sene1264,see,iroq1247,Iroquoian,Seneca
77_Oneida_onei1249,Oneida,North America,43.438742,-75.708106,onei1249,one,iroq1247,Iroquoian,Oneida
78_Yuchi_yuch1247,Yuchi,North America,35.75,-86.75,yuch1247,yuc,,,Yuchi
79_Alabama_alab1237,Alabama,North America,30.76738,-94.62848,alab1237,akz,musk1252,Muskogean,Alabama
80_Tunica_tuni1252,Tunica,North America,30.9888,-92.5403,tuni1252,tun,,,Tunica
81_Nez_Perce_nezp1238,Nez Perce,North America,46.3073,-116.408,nezp1238,nez,saha1239,Sahaptian,Nez Perce
82_Northeast_Maidu_nort2952,Northeast Maidu,North America,40.4102,-120.645,nort2952,nmu,maid1262,Maiduan,Northeast Maidu
83_Copainala_Zoque_copa1236,Copainalá Zoque,North America,17.2157,-93.3183,copa1236,zoc,mixe1284,Mixe-Zoque,Copainalá Zoque
84_Papantla_Totonac_papa1238,Papantla Totonac,North America,20.5671,-97.2554,papa1238,top,toto1251,Totonacan,Papantla Totonac
85_Tabasco_Chontal_taba1266,Tabasco Chontal,North America,18.1713,-92.7367,taba1266,chf,maya1287,Mayan,Tabasco Chontal
86_Tzeltal_tzel1254,Tzeltal,North America,16.6384,-92.2786,tzel1254,tzh,maya1287,Mayan,Tzeltal
87_Purepecha_pure1242,Purepecha,North America,19.2467,-101.631,pure1242,tsz,tara1323,Tarascan,Purepecha
88_Karok_karo1304,Karok,North America,41.8228,-123.315,karo1304,kyh,,,Karok
89_Southeastern_Pomo_sout2982,Southeastern Pomo,North America,38.9354,-122.599,sout2982,pom,pomo1273,Pomoan,Southeastern Pomo
90_Tipai_kumi1248,Tipai,North America,32.331,-116.604,kumi1248,dih,coch1271,Cochimi-Yuman,Tipai
91_Zuni_zuni1245,Zuni,North America,35.0056,-108.782,zuni1245,zun,,,Zuni
92_Southern_Tiwa_sout2961,Southern Tiwa,North America,34.7873,-106.661,sout2961,tix,kiow1265,Kiowa-Tanoan,Southern Tiwa
93_Rio_Grande_Tewa_tewa1260,Rio Grande Tewa,North America,35.9053,-106.124,tewa1260,tew,kiow1265,Kiowa-Tanoan,Rio Grande Tewa
94_Luiseno_luis1253,Luiseno-Juaneño,North America,33.3184,-116.939,luis1253,lui,utoa1244,Uto-Aztecan,Luiseno-Juaneño
95_Hopi_hopi1249,Hopi,North America,35.7653,-110.535,hopi1249,hop,utoa1244,Uto-Aztecan,Hopi
96_Tohono_Oodham_toho1245,Tohono O'odham,North America,31.7973,-111.995,toho1245,ood,utoa1244,Uto-Aztecan,Tohono O'odham
97_Mezquital_Otomi_mezq1235,Mezquital Otomi,North America,20.2274,-99.5564,mezq1235,ote,otom1299,Otomanguean,Mezquital Otomi
98_Central_Mazahua_cent2144,Central Mazahua,North America,19.7357,-100.018,cent2144,maz,otom1299,Otomanguean,Central Mazahua
99_Chiquihuitlan_Mazatec_chiq1250,Chiquihuitlán Mazatec,North America,18.0541,-96.6659,chiq1250,maq,otom1299,Otomanguean,Chiquihuitlán Mazatec
100_San_Miguel_El_Grande_Mixtec_sanm1295,San Miguel El Grande Mixtec,North America,17.046881,-97.622482,sanm1295,mig,otom1299,Otomanguean,San Miguel El Grande Mixtec
101_Chapalaa_chac1249,Cha'palaa,South America,0.71489,-79.0508,chac1249,cbi,barb1265,Barbacoan,Cha'palaa
102_Paez_paez1247,Páez,South America,2.61516,-76.31254,paez1247,pbb,,,Páez
103_Itonama_iton1250,Itonama,South America,-12.80431,-64.35748,iton1250,ito,,,Itonama
104_South_Bolivian_Quechua_sout2991,South Bolivian Quechua,South America,-20.9201,-66.3331,sout2991,quh,quec1387,Quechuan,South Bolivian Quechua
105_Jaqaru_jaqa1244,Jaqaru,South America,-12.741939,-75.809231,jaqa1244,jqr,ayma1253,Aymaran,Jaqaru
106_Mapudungun_mapu1245,Mapudungun,South America,-38.7392,-71.277,mapu1245,arn,arau1255,Araucanian,Mapudungun
107_Island_Carib_isla1278,Island Carib,North America,15.364795,-61.342957,isla1278,crb,araw1281,Arawakan,Island Carib
108_Wapishana_wapi1253,Wapishana,South America,2.58744,-59.8021,wapi1253,wap,araw1281,Arawakan,Wapishana
109_Wayuu_wayu1243,Wayuu,South America,11.395566,-72.199791,wayu1243,guc,araw1281,Arawakan,Wayuu
110_Ashaninka_asha1243,Asháninka,South America,-11.9311,-73.9073,asha1243,cni,araw1281,Arawakan,Asháninka
111_Ignaciano_igna1246,Ignaciano,South America,-15.1188,-65.3993,igna1246,ign,araw1281,Arawakan,Ignaciano
112_Yanesha_yane1238,Yanesha',South America,-10.5454,-75.315,yane1238,ame,araw1281,Arawakan,Yanesha'
113_Shuar_shua1257,Shuar,South America,-3.45136,-78.1892,shua1257,jiv,jiva1245,Chicham,Shuar
114_Waimaha_waim1255,Waimaha,South America,0.30416,-70.1644,waim1255,bao,tuca1253,Tucanoan,Waimaha
115_Ticuna_ticu1245,Ticuna,South America,-3.66289,-69.8723,ticu1245,tca,ticu1244,Ticuna-Yuri,Ticuna
116_Galibi_Carib_gali1262,Galibi Carib,South America,5.83772,-56.8323,gali1262,car,cari1283,Cariban,Galibi Carib
117_Ocaina_ocai1244,Ocaina,South America,-2.159,-72.1422,ocai1244,oca,huit1251,Huitotoan,Ocaina
