ID,Name,Description,BIPA
BIPA_tsw_u0074u0283u02B7,tʃʷ,labialized voiceless post-alveolar sibilant affricate consonant,tʃʷ
UNK_aw_u00E3u0077u0303,ãw̃,,
BIPA_gx_u0261u01C3u0078u02BC,ɡǃxʼ,from voiced alveolar click to voiceless velar ejective fricative cluster,gǃxʼ
UNK_dy_u0064u0079,dy,,
BIPA_kw_u006Bu0349u02B7,k͉ʷ,labialized unreleased voiceless velar stop consonant,k̚ʷ
BIPA_eu_u0065u031Eu0075u032F,e̞u̯,from unrounded mid front to non-syllabic rounded close back diphthong,e̞u̯
BIPA_ng_u014Bu01C0u0353,ŋǀ͓,with-friction voiced dental nasal-click consonant,ŋǀ͓
BIPA_nsh_u207Fu0073u02B0,ⁿsʰ,pre-nasalized aspirated voiceless alveolar sibilant fricative consonant,ⁿsʰ
BIPA_j_u006Au003A,j:,long voiced palatal approximant consonant,jː
BIPA_t_u0074u032Au02D0u02E4,t̪ːˤ,pharyngealized long voiceless dental stop consonant,t̪ˤː
BIPA_l_u006Cu032Au02D0u02E4,l̪ːˤ,pharyngealized long voiced dental lateral approximant consonant,l̪ˤː
BIPA_ndz_u006Eu0064u007A,ndz,pre-nasalized voiced alveolar sibilant affricate consonant,ⁿdz
BIPA_aeo_u00E6u0254,æɔ,from unrounded near-open front to rounded open-mid back diphthong,æɔ
BIPA_i_u026Au0324,ɪ̤,breathy unrounded near-close near-front vowel,ɪ̤
BIPA_mph_u006Du0324u0070u02B0,m̤pʰ,pre-nasalized breathy voiceless bilabial stop consonant,ⁿpʱ
BIPA_dzg_u0064u0320u0292u02E0,d̠ʒˠ,velarized voiced post-alveolar sibilant affricate consonant,dʒˠ
BIPA_nsw_u006Eu0073u02B7,nsʷ,pre-nasalized labialized voiceless alveolar sibilant fricative consonant,ⁿsʷ
BIPA_ts_u0074u0320u0283u0330,t̠ʃ̰,creaky voiceless post-alveolar sibilant affricate consonant,tʃ̰
UNK_g_u02BCu0261,ʼɡ,,
UNK_iau_u0069u0061u0075,iau,,
BIPA_f_u0066,f,voiceless labio-dental fricative consonant,f
BIPA_ngmkp_u014Bu006Du006Bu0070,ŋmkp,from pre-nasalized voiceless velar stop to voiceless bilabial stop cluster,ⁿkp
BIPA_ou_u0254u028A,ɔʊ,from rounded open-mid back to rounded near-close near-back diphthong,ɔʊ
BIPA_ng_u014Bu0324u01C3,ŋ̤ǃ,breathy voiced alveolar nasal-click consonant,ŋǃʱ
BIPA_ia_u0069u00E3,iã,from unrounded close front to nasalized unrounded open front diphthong,iã
BIPA_sh_u0283u02B0,ʃʰ,aspirated voiceless post-alveolar sibilant fricative consonant,ʃʰ
BIPA_tsjh_u0074u0320u0073u0320u02B2u02B0,t̠s̠ʲʰ,retracted palatalized aspirated voiceless alveolar sibilant affricate consonant,ts̠ʲʰ
BIPA_ts_u0074u032Au0073u032Au02C0,t̪s̪ˀ,glottalized voiceless dental sibilant affricate consonant,ts̪ˀ
BIPA_ii_u026Au0069,ɪi,from unrounded near-close near-front to unrounded close front diphthong,ɪi
BIPA_gh_u0261u030Au02B0,ɡ̊ʰ,aspirated devoiced voiced velar stop consonant,g̊ʰ
BIPA_u_u0289u031Fu02D0,ʉ̟ː,long advanced rounded close central vowel,ʉː̟
BIPA_htj_u02B0u0074u02B2,ʰtʲ,pre-aspirated palatalized voiceless alveolar stop consonant,ʰtʲ
BIPA_gm_u0261u006D,ɡm,with-nasal-release voiced velar-and-bilabial stop consonant,gbⁿ
BIPA_rw_u0281u02D0u02B7,ʁːʷ,labialized long voiced uvular fricative consonant,ʁʷː
BIPA_ng_u207Fu0067,ⁿg,pre-nasalized voiced velar stop consonant,ⁿg
BIPA_e_u0115u031E,ĕ̞,ultra-short unrounded mid front vowel,ĕ̞
BIPA_jh_u025Fu0266,ɟɦ,breathy voiced palatal stop consonant,ɟʱ
BIPA_u_u0075u0259,uə,from rounded close back to unrounded mid central diphthong,uə
BIPA_uo_u0169u0254u0303u02D0,ũɔ̃ː,from nasalized rounded close back to long nasalized rounded open-mid back diphthong,ũɔ̃ː
BIPA_m_u006Du02C0,mˀ,glottalized voiced bilabial nasal consonant,mˀ
BIPA_nl_u006Eu026C,nɬ,pre-nasalized voiceless alveolar lateral fricative consonant,ⁿɬ
BIPA_l_u006Cu0303,l̃,nasalized voiced alveolar lateral approximant consonant,l̃
BIPA_c_u02C0u0063,ˀc,pre-glottalized voiceless palatal stop consonant,ˀc
UNK_jo_u006Au006F,jo,,
BIPA_ay_u0061u0079,ay,from unrounded open front to rounded close front diphthong,ay
BIPA_r_u027Eu032A,ɾ̪,voiced dental tap consonant,ɾ̪
BIPA_o_u0254u02D0u0259,ɔːə,from long rounded open-mid back to unrounded mid central diphthong,ɔːə
BIPA_ng_u014Bu01C1u02BC,ŋǁʼ,voiced lateral ejective nasal-click consonant,ŋǁ’
BIPA_kl_u006Bu026C,kɬ,voiceless velar lateral affricate consonant,kʟ̥
BIPA_r_u027Au0320u033A,ɺ̠̺,retracted voiced apical alveolar lateral tap consonant,ɺ̠̺
BIPA_cw_u0063u02B7,cʷ,labialized voiceless palatal stop consonant,cʷ
BIPA_d_u0257,ɗ,voiced dental implosive consonant,ɗ
BIPA_ei_u025Bu026A,ɛɪ,from unrounded open-mid front to unrounded near-close near-front diphthong,ɛɪ
BIPA_q_u0071u01C0,qǀ,voiceless dental click consonant,ǀ
BIPA_g_u0262u01C0,ɢǀ,voiced dental click consonant,gǀ
UNK_tsh_u0074u032Au0073u032Au0266,t̪s̪ɦ,,
BIPA_r_u0279u0325,ɹ̥,devoiced voiced alveolar approximant consonant,ɹ̥
BIPA_v_u0076u0329,v̩,syllabic voiced labio-dental fricative consonant,v̩
BIPA__u1D91u02BCu02D0,ᶑʼː,long voiced retroflex ejective implosive consonant,ᶑ’ː
BIPA_s_u0283u0349,ʃ͉,unreleased voiceless post-alveolar sibilant fricative consonant,ʃ̚
BIPA_er_u0065u02DE,e˞,rhotacized unrounded close-mid front vowel,e˞
BIPA_l_u006Cu0320,l̠,voiced post-alveolar lateral approximant consonant,l̠
BIPA_ntsh_u0273u0288u0282u02B0,ɳʈʂʰ,pre-nasalized aspirated voiceless retroflex sibilant affricate consonant,ⁿʈʂʰ
BIPA_gkh_u0261u0298u006Bu02B0,ɡʘkʰ,from voiced labial click to aspirated voiceless velar stop cluster,gʘkʰ
BIPA_o_u006Fu031Eu02E4u02D0,o̞ˤː,long pharyngealized rounded mid back vowel,o̞ˤː
BIPA_x_u0078u02D0,xː,long voiceless velar fricative consonant,xː
BIPA_w_u0295u0330u02B7,ʕ̰ʷ,labialized creaky voiced pharyngeal fricative consonant,ʕ̰ʷ
BIPA_i_u0129u003A,ĩ:,long nasalized unrounded close front vowel,ĩː
BIPA_np_u207Fu0070,ⁿp,pre-nasalized voiceless bilabial stop consonant,ⁿp
BIPA_u_u0289,ʉ,rounded close central vowel,ʉ
BIPA_e_u0065u003A,e:,long unrounded close-mid front vowel,eː
BIPA_h_u0068u1DA3,hᶣ,labio-palatalized voiceless glottal fricative consonant,hᶣ
BIPA_ai_u0250u0069,ɐi,from unrounded near-open central to unrounded close front diphthong,ɐi
BIPA_tc_u02A8,ʨ,voiceless alveolo-palatal sibilant affricate consonant,tɕ
BIPA_u_u0264u031Fu02D0,ɤ̟ː,long advanced unrounded close-mid back vowel,ɤː̟
BIPA_io_u0069u00F8,iø,from unrounded close front to rounded close-mid front diphthong,iø
BIPA_r_u0072u02BC,rʼ,voiced alveolar ejective trill consonant,r’
UNK_fs_u0066u0283,fʃ,,
BIPA_u_u0075u0319,u̙,retracted-tongue-root rounded close back vowel,u̙
BIPA_mfj_u0271u0066u02B2,ɱfʲ,pre-nasalized palatalized voiceless labio-dental fricative consonant,ⁿfʲ
UNK_dzw_u0064u1E91u02B7,dẑʷ,,
BIPA_nk_u207Fu006B,ⁿk,pre-nasalized voiceless velar stop consonant,ⁿk
BIPA_y_u028Eu02D0,ʎː,long voiced palatal lateral approximant consonant,ʎː
BIPA_tshw_u0074u032Au0073u032Au02B0u02B7,t̪s̪ʰʷ,labialized aspirated voiceless dental sibilant affricate consonant,ts̪ʷʰ
BIPA_f_u0066u02BC,fʼ,voiceless labio-dental ejective fricative consonant,fʼ
BIPA_ntch_u207Fu0074u0255u02B0,ⁿtɕʰ,pre-nasalized aspirated voiceless alveolo-palatal sibilant affricate consonant,ⁿtɕʰ
BIPA_e_u0065u031Eu0330,e̞̰,creaky unrounded mid front vowel,e̞̰
BIPA_w_u026Fu0319,ɯ̙,retracted-tongue-root unrounded close back vowel,ɯ̙
BIPA_g_u0261u0324u01C0,ɡ̤ǀ,breathy voiced dental click consonant,gǀʱ
BIPA_l_u006Cu0325,l̥,devoiced voiced alveolar lateral approximant consonant,l̥
BIPA_g_u0067u030Au02D0,g̊ː,long devoiced voiced velar stop consonant,g̥ː
BIPA_nd_u006Eu0320u0064u0320,n̠d̠,retracted pre-nasalized voiced alveolar stop consonant,ⁿd̠
BIPA__u0295u02D0,ʕː,long voiced pharyngeal fricative consonant,ʕː
BIPA_u_u028Cu0075,ʌu,from unrounded open-mid back to rounded close back diphthong,ʌu
BIPA_io_u0129u00F5,ĩõ,from nasalized unrounded close front to nasalized rounded close-mid back diphthong,ĩõ
BIPA_nh_u0272u02B0,ɲʰ,aspirated voiced palatal nasal consonant,ɲʰ
BIPA_ngmj_u014Bu006Du02B2,ŋmʲ,palatalized voiced velar-and-bilabial nasal consonant,ŋmʲ
BIPA_bz_u0062u007A,bz,with-sibilant-release voiced bilabial stop consonant,bˢ
BIPA_s_u0073u032Au02E4,s̪ˤ,pharyngealized voiceless dental sibilant fricative consonant,s̪ˤ
BIPA_ts_u0074u033Bu0283u033B,t̻ʃ̻,voiceless laminal post-alveolar sibilant affricate consonant,tʃ̻
BIPA_kh_u006Bu01C3u0320u02B0,kǃ̠ʰ,retracted aspirated voiceless alveolar click consonant,ǃ̠ʰ
BIPA_glx_u0261u0330u01C2u0353u02E1u0078,ɡ̰ǂ͓ˡx,with-lateral-release voiceless palatal click consonant,ǂˡ
BIPA_o_u006Fu02E4u02D0,oˤː,long pharyngealized rounded close-mid back vowel,oˤː
BIPA_a_u0251u003A,ɑ:,long unrounded open back vowel,ɑː
BIPA_i_u0069u032Fu028C,i̯ʌ,from non-syllabic unrounded close front to unrounded open-mid back diphthong,i̯ʌ
BIPA_o_u006Fu0259,oə,from rounded close-mid back to unrounded mid central diphthong,oə
BIPA_swj_u0073u032Au02B7u02B2,s̪ʷʲ,palatalized labialized voiceless dental sibilant fricative consonant,s̪ʲʷ
BIPA_l_u029Fu0325u0353,ʟ̥͓,with-friction devoiced voiced velar lateral approximant consonant,ʟ̥͓
BIPA_s_u0283u031E,ʃ̞,lowered voiceless post-alveolar sibilant fricative consonant,ʃ̞
BIPA_g_u0262,ɢ,voiced uvular stop consonant,ɢ
BIPA_bm_u0062u006D,bm,with-nasal-release voiced bilabial stop consonant,bⁿ
BIPA_hj_u02B1u025F,ʱɟ,pre-breathy-aspirated voiced palatal stop consonant,ʱɟ
BIPA_l_u006Cu032Au02E4,l̪ˤ,pharyngealized voiced dental lateral approximant consonant,l̪ˤ
BIPA_e_u0065u031Eu02E4,e̞ˤ,pharyngealized unrounded mid front vowel,e̞ˤ
BIPA_uo_u0075u0254u02D0,uɔː,from rounded close back to long rounded open-mid back diphthong,uɔː
BIPA_j_u006Au0325,j̥,devoiced voiced palatal approximant consonant,j̊
BIPA__u0259u02E4,əˤ,pharyngealized unrounded mid central vowel,əˤ
BIPA_bw_u0062u02B7u02D0,bʷː,labialized long voiced bilabial stop consonant,bʷː
UNK_nggw_u014Bu0261u0077,ŋɡw,,
BIPA_tj_u0074u02B2u0027,tʲ',palatalized voiceless alveolar ejective stop consonant,t’ʲ
BIPA_w_u026Fu0330,ɯ̰,creaky unrounded close back vowel,ɯ̰
BIPA_gkx_u0261u0298u006Bu0078u02BC,ɡʘkxʼ,from voiced labial click to voiceless velar ejective affricate cluster,gʘkx’
BIPA_yoe_u1EF9u0153u02D0,ỹœː,from nasalized rounded close front to long rounded open-mid front diphthong,ỹœː
BIPA_r_u027E,ɾ,voiced alveolar tap consonant,ɾ
BIPA_nj_u0272u006A,ɲj,palatalized voiced palatal nasal consonant,ɲʲ
UNK_s_u015Du02BC,ŝʼ,,
UNK_iau_u0069u032Fu0061u0075u032F,i̯au̯,,
BIPA_kh_u03C7,χ,voiceless uvular fricative consonant,χ
BIPA_u_u0075u02D0u0303,uː̃,long nasalized rounded close back vowel,ũː
BIPA_t_u0074u0027,t',voiceless alveolar ejective stop consonant,t’
BIPA_kxwh_u006Bu0078u02B7u02B0,kxʷʰ,labialized aspirated voiceless velar affricate consonant,kxʷʰ
BIPA_mbj_u006Du0062u02B2,mbʲ,pre-nasalized palatalized voiced bilabial stop consonant,ⁿbʲ
BIPA_ou_u006Fu0075,ou,from rounded close-mid back to rounded close back diphthong,ou
BIPA_nd_u006Eu0257,nɗ,pre-nasalized voiced dental implosive consonant,ⁿɗ
BIPA_oe_u006Fu0065u031E,oe̞,from rounded close-mid back to unrounded mid front diphthong,oe̞
BIPA__u028Cu0324u02D0,ʌ̤ː,long breathy unrounded open-mid back vowel,ʌ̤ː
BIPA_eu_u0065u0075u031C,eu̜,from unrounded close-mid front to less-rounded rounded close back diphthong,eu̜
BIPA_g_u0261u0319,ɡ̙,voiced retracted-tongue-root velar stop consonant,g̙
BIPA_o_u0275u0259,ɵə,from rounded close-mid central to unrounded mid central diphthong,ɵə
BIPA_oi_u006Fu031Eu0069u02E4,o̞iˤ,from rounded mid back to pharyngealized unrounded close front diphthong,o̞iˤ
BIPA_hws_u02B0u02B7u0073,ʰʷs,pre-labialized voiceless alveolar sibilant fricative consonant,ʷs
BIPA_u_u0264u02D0,ɤː,long unrounded close-mid back vowel,ɤː
BIPA_io_u0069u006F,io,from unrounded close front to rounded close-mid back diphthong,io
UNK_s_u015D,ŝ,,
UNK_we_u0077u025B,wɛ,,
BIPA_e_u1EBD,ẽ,nasalized unrounded close-mid front vowel,ẽ
BIPA_ua_u0075u0251,uɑ,from rounded close back to unrounded open back diphthong,uɑ
BIPA_n_u006Eu0349,n͉,unreleased voiced alveolar nasal consonant,n̚
BIPA_thj_u0074u02B0u02B2,tʰʲ,palatalized aspirated voiceless alveolar stop consonant,tʲʰ
BIPA_dz_u0064u007Au033A,dz̺,voiced apical alveolar sibilant affricate consonant,dz̺
BIPA_n_u006Eu02C0,nˀ,glottalized voiced alveolar nasal consonant,nˀ
BIPA__u02E9,˩,short from-low tone,¹
BIPA_hc_u02B0u0063,ʰc,pre-aspirated voiceless palatal stop consonant,ʰc
BIPA_twj_u0074u032Au02BCu02B7u02B2,t̪ʼʷʲ,palatalized labialized voiceless dental ejective stop consonant,t̪’ʲʷ
BIPA_d_u00F0u02D0,ðː,long voiced dental fricative consonant,ðː
BIPA_y_u028Eu033B,ʎ̻,voiced laminal palatal lateral approximant consonant,ʎ̻
BIPA_dz_u02A3,ʣ,voiced alveolar sibilant affricate consonant,dz
BIPA_jj_u025Fu029D,ɟʝ,voiced palatal affricate consonant,ɟʝ
BIPA_nw_u006Eu0324u02B7,n̤ʷ,labialized breathy voiced alveolar nasal consonant,nʷʱ
BIPA_ntsh_u207Fu0074u032Au0073u032Au02B0,ⁿt̪s̪ʰ,pre-nasalized aspirated voiceless dental sibilant affricate consonant,ⁿts̪ʰ
BIPA_th_u0074u032Au02B0u02D0,t̪ʰː,aspirated long voiceless dental stop consonant,t̪ʰː
BIPA_p_u0070u003A,p:,long voiceless bilabial stop consonant,pː
BIPA_qw_u0071u02D0u02B7,qːʷ,labialized long voiceless uvular stop consonant,qʷː
BIPA_h_u0068u02BC,hʼ,voiceless glottal ejective fricative consonant,h’
UNK_ew_u0065u0077,ew,,
BIPA_uu_u0075u0075u032F,uu̯,long non-syllabic rounded close back vowel,u̯ː
BIPA_d_u0064u02E4u02D0,dˤː,pharyngealized long voiced alveolar stop consonant,dˤː
BIPA_tlw_u0074u032Au026Cu032Au02B7u02BC,t̪ɬ̪ʷʼ,labialized voiceless dental ejective lateral affricate consonant,tɬ̪’ʷ
BIPA_ng_u014Bu0324u01C2,ŋ̤ǂ,breathy voiced palatal nasal-click consonant,ŋǂʱ
BIPA_e_u0065u031Eu0320,e̞̠,retracted unrounded mid front vowel,e̞̠
BIPA_ng_u014Bu030Au01C2,ŋ̊ǂ,devoiced voiced palatal nasal-click consonant,ŋ̊ǂ
BIPA_k_u006Bu01C1,kǁ,voiceless lateral click consonant,ǁ
BIPA_i_u0069u028Cu032F,iʌ̯,from unrounded close front to non-syllabic unrounded open-mid back diphthong,iʌ̯
UNK_d_u02BCu0064,ʼd,,
BIPA_i_u0069u02E4u02D0,iˤː,long pharyngealized unrounded close front vowel,iˤː
BIPA_e_u0065u031D,e̝,raised unrounded close-mid front vowel,e̝
BIPA_mfr_u0271u0066u027E,ɱfɾ,pre-nasalized with-trilled-release voiceless labio-dental fricative consonant,ⁿfʳ
BIPA_fh_u0278u02B0,ɸʰ,aspirated voiceless bilabial fricative consonant,ɸʰ
BIPA_u_u0264,ɤ,unrounded close-mid back vowel,ɤ
BIPA_n_u006Eu032Au02D0,n̪ː,long voiced dental nasal consonant,n̪ː
BIPA_w_u0077,w,voiced labio-velar approximant consonant,w
BIPA_i_u026Au02D0,ɪː,long unrounded near-close near-front vowel,ɪː
BIPA_l_u006Cu032Au0324,l̪̤,breathy voiced dental lateral approximant consonant,l̪ʱ
BIPA_l_u026Du0353,ɭ͓,with-friction voiced retroflex lateral approximant consonant,ɭ͓
BIPA_ye_u0079u025C,yɜ,from rounded close front to unrounded open-mid central diphthong,yɜ
BIPA_rg_u027Eu032Au02E0,ɾ̪ˠ,velarized voiced dental tap consonant,ɾ̪ˠ
BIPA_m_u006Du033C,m̼,voiced linguolabial nasal consonant,n̼
UNK_uai_u028Au032Fu0061u026Au032F,ʊ̯aɪ̯,,
BIPA_a_u0061,a,unrounded open front vowel,a
BIPA_ntsh_u207Fu0074u0073u02B0,ⁿtsʰ,pre-nasalized aspirated voiceless alveolar sibilant affricate consonant,ⁿtsʰ
BIPA_ts_u02C0u0074u032Au0073,ˀt̪s,pre-glottalized voiceless dental sibilant affricate consonant,ˀts̪
BIPA_i_u0268u0320,ɨ̠,retracted unrounded close central vowel,ɨ̠
BIPA_ai_u0250u026A,ɐɪ,from unrounded near-open central to unrounded near-close near-front diphthong,ɐɪ
BIPA_dz_u0064u007Au02D0,dzː,long voiced alveolar sibilant affricate consonant,dzː
UNK_nv_u006Eu0076,nv,,
BIPA_ng_u014Bu01C1,ŋǁ,voiced lateral nasal-click consonant,ŋǁ
BIPA_ngw_u014Bu02B7,ŋʷ,labialized voiced velar nasal consonant,ŋʷ
BIPA_nq_u006Eu0071,nq,from voiced alveolar nasal to voiceless uvular stop cluster,nq
BIPA_m_u02C0u006Du0325,ˀm̥,pre-glottalized devoiced voiced bilabial nasal consonant,ˀm̥
BIPA_kp_u006Bu0070u02D0,kpː,long voiceless velar-and-bilabial stop consonant,kpː
BIPA_nlz_u006Eu026E,nɮ,pre-nasalized voiced alveolar lateral fricative consonant,ⁿɮ
BIPA_dz_u02A4,ʤ,voiced post-alveolar sibilant affricate consonant,dʒ
BIPA_ea_u025Bu0061u031F,ɛa̟,from unrounded open-mid front to advanced unrounded open front diphthong,ɛa̟
BIPA_dr_u0064u0072,dr,with-trilled-release voiced alveolar stop consonant,dʳ
BIPA_i_u0069u02D0u0259,iːə,from long unrounded close front to unrounded mid central diphthong,iːə
BIPA_cn_u0063u006Eu0320,cn̠,with-nasal-release voiceless palatal stop consonant,cⁿ
BIPA_ngg_u014Bu0261,ŋɡ,pre-nasalized voiced velar stop consonant,ⁿg
UNK_uh_u0075u02B0,uʰ,,
BIPA_u_u028Au0324,ʊ̤,breathy rounded near-close near-back vowel,ʊ̤
BIPA_n_u006Eu0320,n̠,retracted voiced alveolar nasal consonant,n̠
BIPA_y_u0079u0259,yə,from rounded close front to unrounded mid central diphthong,yə
BIPA_qw_u0071u02B7u02E4u02BC,qʷˤʼ,labialized pharyngealized voiceless uvular ejective stop consonant,q’ʷˤ
BIPA_gjw_u0261u02B2u02B7,ɡʲʷ,palatalized labialized voiced velar stop consonant,gʲʷ
BIPA_nts_u207Fu0074u0283,ⁿtʃ,pre-nasalized voiceless post-alveolar sibilant affricate consonant,ⁿtʃ
BIPA_ts_u0074u0073u02D0,tsː,long voiceless alveolar sibilant affricate consonant,tsː
BIPA_e_u0258u0303,ɘ̃,nasalized unrounded close-mid central vowel,ɘ̃
BIPA_o_u014F,ŏ,ultra-short rounded close-mid back vowel,ŏ
BIPA_j_u006Au0330,j̰,creaky voiced palatal approximant consonant,j̰
UNK_z_u1E91,ẑ,,
BIPA__u02E6u02E5u02E6,˦˥˦,contour from-mid-high via-high to-mid-high tone,⁴⁵⁴
BIPA_i_u0259u0129,əĩ,from unrounded mid central to nasalized unrounded close front diphthong,əĩ
BIPA_ii_u0268u0069,ɨi,from unrounded close central to unrounded close front diphthong,ɨi
BIPA_nsr_u006Eu0073u027E,nsɾ,pre-nasalized with-trilled-release voiceless alveolar sibilant fricative consonant,ⁿsʳ
BIPA_e_u0065u031Eu02D0,e̞ː,long unrounded mid front vowel,e̞ː
BIPA_o_u0254u031Eu0303,ɔ̞̃,lowered nasalized rounded open-mid back vowel,ɔ̞̃
BIPA_l_u026D,ɭ,voiced retroflex lateral approximant consonant,ɭ
BIPA_oe_u0153u031Cu02D0,œ̜ː,long less-rounded rounded open-mid front vowel,œ̜ː
BIPA_a_u0251u031Du031F,ɑ̝̟,advanced raised unrounded open back vowel,ɑ̝̟
BIPA_kh_u006Bu01C1u02BCu02B0,kǁʼʰ,aspirated voiceless lateral ejective click consonant,ǁ’ʰ
BIPA_i_u0129,ĩ,nasalized unrounded close front vowel,ĩ
BIPA_b_u0062u02D0,bː,long voiced bilabial stop consonant,bː
BIPA_nph_u207Fu0070u02B0,ⁿpʰ,pre-nasalized aspirated voiceless bilabial stop consonant,ⁿpʰ
BIPA_lw_u006Cu02B7,lʷ,labialized voiced alveolar lateral approximant consonant,lʷ
BIPA_gr_u0261u027E,ɡɾ,with-trilled-release voiced velar stop consonant,gʳ
BIPA_o_u006Fu0318,o̘,advanced-tongue-root rounded close-mid back vowel,o̘
BIPA_d_u0256,ɖ,voiced retroflex stop consonant,ɖ
BIPA_nt_u207Fu0074,ⁿt,pre-nasalized voiceless alveolar stop consonant,ⁿt
BIPA_l_u006Cu032Au0330,l̪̰,creaky voiced dental lateral approximant consonant,l̪̰
BIPA_ng_u014Bu0325,ŋ̥,devoiced voiced velar nasal consonant,ŋ̊
BIPA_r_u027F,ɿ,unrounded close with-friction back vowel,ɿ
BIPA_d_u1D05u032Au0330,ᴅ̪̰,creaky voiced dental tap consonant,ɾ̪̰
BIPA_gb_u02C0u0261u0062,ˀɡb,pre-glottalized voiced velar-and-bilabial stop consonant,ˀgb
BIPA_ai_u0061u0069u032Fu02D0,ai̯ː,from unrounded open front to long non-syllabic unrounded close front diphthong,ai̯ː
BIPA_gh_u0067u02B0,gʰ,aspirated voiced velar stop consonant,gʰ
BIPA_ng_u014Bu031E,ŋ̞,lowered voiced velar nasal consonant,ŋ̞
UNK_aj_u00E3u006A,ãj,,
BIPA_c_u0063u02BCu02D0,cʼː,long voiceless palatal ejective stop consonant,c’ː
BIPA_gkh_u0261u01C3u006Bu02B0,ɡǃkʰ,from voiced alveolar click to aspirated voiceless velar stop cluster,gǃkʰ
BIPA_io_u0069u0254,iɔ,from unrounded close front to rounded open-mid back diphthong,iɔ
BIPA_dj_u0064u0320u02B2,d̠ʲ,palatalized voiced post-alveolar stop consonant,d̠ʲ
BIPA_ua_u028Au0061,ʊa,from rounded near-close near-back to unrounded open front diphthong,ʊa
BIPA_hph_u02B0u0070u02B0,ʰpʰ,pre-aspirated aspirated voiceless bilabial stop consonant,ʰpʰ
BIPA_e_u025Bu0330u0303,ɛ̰̃,nasalized creaky unrounded open-mid front vowel,ɛ̰̃
BIPA_a_u0252,ɒ,rounded open back vowel,ɒ
UNK_r_u027Au032A,ɺ̪,,
BIPA_ch_u0255u02B0,ɕʰ,aspirated voiceless alveolo-palatal sibilant fricative consonant,ɕʰ
BIPA_a_u0251u02D1,ɑˑ,mid-long unrounded open back vowel,ɑˑ
BIPA_u_u0075u0325,u̥,devoiced rounded close back vowel,u̥
BIPA_j_u02C0u006Au0330,ˀj̰,pre-glottalized creaky voiced palatal approximant consonant,ˀj̰
BIPA_ii_u0069u0069,ii,long unrounded close front vowel,iː
BIPA_w_u0077u0330,w̰,creaky voiced labio-velar approximant consonant,w̰
BIPA_zj_u007Au02B2u02D0,zʲː,palatalized long voiced alveolar sibilant fricative consonant,zʲː
BIPA_ua_u0075u00E4,uä,from rounded close back to centralized unrounded open front diphthong,uä
BIPA_pw_u0070u02B7u02BC,pʷʼ,labialized voiceless bilabial ejective stop consonant,p’ʷ
BIPA_tsh_u0074u0073u02B0u02E4,tsʰˤ,pharyngealized aspirated voiceless alveolar sibilant affricate consonant,tsˤʰ
BIPA_dz_u0064u032Au0292,d̪ʒ,voiced post-alveolar sibilant affricate consonant,dʒ
BIPA_ng_u0294u014Bu01C3,ʔŋǃ,pre-glottalized voiced alveolar nasal-click consonant,ˀŋǃ
BIPA_d_u0257u02D0,ɗː,long voiced dental implosive consonant,ɗː
BIPA_zj_u007Au032Au02B2,z̪ʲ,palatalized voiced dental sibilant fricative consonant,z̪ʲ
BIPA_d_u0064u032Au0324u02D0,d̪̤ː,long breathy voiced dental stop consonant,d̪ʱː
BIPA_f_u0278,ɸ,voiceless bilabial fricative consonant,ɸ
BIPA_r_u027Au0320u0330,ɺ̠̰,retracted creaky voiced alveolar lateral tap consonant,ɺ̠̰
BIPA_z_u0292u030A,ʒ̊,devoiced voiced post-alveolar sibilant fricative consonant,ʒ̊
BIPA_ts_u0074u0320u0283u02BCu02D0,t̠ʃʼː,long voiceless post-alveolar ejective sibilant affricate consonant,tʃʼː
BIPA_ae_u00E3u1EBDu031Eu02E4,ãẽ̞ˤ,from nasalized unrounded open front to pharyngealized nasalized unrounded mid front diphthong,ãẽ̞ˤ
BIPA_kx_u006Bu01C3u0078u02BC,kǃxʼ,from voiceless alveolar click to voiceless velar ejective fricative cluster,ǃxʼ
BIPA_g_u0261,ɡ,voiced velar stop consonant,g
BIPA_mbw_u006Du0062u02B7,mbʷ,pre-nasalized labialized voiced bilabial stop consonant,ⁿbʷ
BIPA_mj_u006Du0325u02B2,m̥ʲ,palatalized devoiced voiced bilabial nasal consonant,m̥ʲ
BIPA_w_u0270u0303,ɰ̃,nasalized voiced velar approximant consonant,ɰ̃
BIPA_ts_u0074u0283u02BCu02E4,tʃʼˤ,pharyngealized voiceless post-alveolar ejective sibilant affricate consonant,tʃ’ˤ
BIPA_rg_u0072u032Au02E0,r̪ˠ,velarized voiced dental trill consonant,r̪ˠ
BIPA_ndz_u207Fu0064u032Au007Au032A,ⁿd̪z̪,pre-nasalized voiced dental sibilant affricate consonant,ⁿdz̪
BIPA_ie_u0069u02D0u0065,iːe,from long unrounded close front to unrounded close-mid front diphthong,iːe
BIPA_r_u027Du030A,ɽ̊,devoiced voiced retroflex tap consonant,ɽ̥
BIPA_wh_u0077u02B1,wʱ,breathy voiced labio-velar approximant consonant,wʱ
BIPA_gbr_u0261u0062u0072,ɡbr,with-trilled-release voiced bilabial stop consonant,bʳ
BIPA_j_u006Au033B,j̻,voiced laminal palatal approximant consonant,j̻
BIPA_oa_u006Fu031Eu00E4,o̞ä,from rounded mid back to centralized unrounded open front diphthong,o̞ä
BIPA_dz_u0064u033Au007Au033A,d̺z̺,voiced apical alveolar sibilant affricate consonant,dz̺
