ID,Name,Description,BIPA
BIPA_nkh_u207Fu006Bu02B0,ⁿkʰ,pre-nasalized aspirated voiceless velar stop consonant,ⁿkʰ
BIPA__u0259u02D0,əː,long unrounded mid central vowel,əː
BIPA_s_u0285u0339,ʅ̹,more-rounded unrounded close with-friction central vowel,ʅ̹
BIPA_o_u0254u031Fu031Cu02D0,ɔ̟̜ː,long advanced less-rounded rounded open-mid back vowel,ɔ̜ː̟
BIPA_kh_u006Bu01C3u02B0,kǃʰ,aspirated voiceless alveolar click consonant,ǃʰ
BIPA_i_u0259u026A,əɪ,from unrounded mid central to unrounded near-close near-front diphthong,əɪ
BIPA_kng_u006Bu014B,kŋ,with-nasal-release voiceless velar stop consonant,kⁿ
BIPA_i_u0268u031Fu02D0,ɨ̟ː,long advanced unrounded close central vowel,ɨː̟
UNK_ej_u0065u006A,ej,,
UNK_ng_u02BCu014Bu01C3,ʼŋǃ,,
BIPA_r_u027Eu032Au030A,ɾ̪̊,devoiced voiced dental tap consonant,ɾ̪̥
BIPA_a_u0061u0259,aə,from unrounded open front to unrounded mid central diphthong,aə
BIPA_a_u0061u031F,a̟,advanced unrounded open front vowel,a̟
BIPA_ts_u0074u0320u0283u0349,t̠ʃ͉,unreleased voiceless post-alveolar sibilant affricate consonant,tʃ̚
BIPA_e_u025Bu0303u02D0,ɛ̃ː,long nasalized unrounded open-mid front vowel,ɛ̃ː
BIPA_g_u0261u1DA3,ɡᶣ,labio-palatalized voiced velar stop consonant,gᶣ
BIPA_i_u0268u0330,ɨ̰,creaky unrounded close central vowel,ɨ̰
BIPA_au_u0061u0075,au,from unrounded open front to rounded close back diphthong,au
BIPA_a_u0061u0324,a̤,breathy unrounded open front vowel,a̤
UNK_gr_u0067u02DE,g˞,,
BIPA_d_u00F0u02E4,ðˤ,pharyngealized voiced dental fricative consonant,ðˤ
BIPA_n_u006Eu02D1,nˑ,mid-long voiced alveolar nasal consonant,nˑ
BIPA_a_u00E3,ã,nasalized unrounded open front vowel,ã
